time,ia,ib,ic,PClimit,Tlevel
0,2.0,2.0,2.0,5,1.0
1,2.0,2.0,2.0,5,1.0
2,2.0,2.0,2.0,5,1.0
3,2.0,2.0,2.0,5,1.0
4,2.0,2.0,2.0,5,1.0
5,2.0,3.5,2.0,5,1.0
6,2.0,4.0,2.0,5,1.0
7,2.0,4.5,2.0,5,1.0
8,2.0,5.0,2.0,5,1.0
9,2.0,5.5,2.0,5,1.0
10,2.0,6.0,2.0,5,1.0
11,2.0,6.5,2.0,5,1.0
12,2.0,7.0,2.0,5,1.0
13,2.0,7.5,2.0,5,1.0
14,2.0,8.0,2.0,5,1.0
15,2.0,8.5,2.0,5,1.0
16,2.0,9.0,2.0,5,1.0
17,2.0,9.5,2.0,5,1.0
18,2.0,10.0,2.0,5,1.0
19,2.0,10.5,2.0,5,1.0
20,2.0,11.0,2.0,5,1.0
21,2.0,11.5,2.0,5,1.0
22,2.0,12.0,2.0,5,1.0
23,2.0,12.5,2.0,5,1.0
24,2.0,13.0,2.0,5,1.0
25,2.0,13.5,2.0,5,1.0
26,2.0,14.0,2.0,5,1.0
27,2.0,14.5,2.0,5,1.0
28,2.0,15.0,2.0,5,1.0
29,2.0,15.5,2.0,5,1.0
