time,ia,ib,ic,Tlevel,PClimit,action
0,5.276117269533289,13.804158321637573,4.1573347706478465,0.149352987947043,2,A15
1,2.273529133451293,12.351552801927035,3.822575613233894,0.03455550185811196,1,A15
2,9.019441065732803,14.489035735779394,1.904587002873257,0.799681554377183,3,A15
3,0.2090141916777699,13.336969344198774,19.217339854184175,0.34614307749153794,1,A15
4,1.9407519827989717,15.85645117346603,19.833602883898223,0.22724320654931796,1,A15
5,0.0017094825632362198,9.720307034030636,20.0,0.0,5,A15
6,10.046147903909162,12.876290306406737,11.42185463900665,0.7088654595696317,5,A15
7,10.280981129918288,14.32556620156015,8.677065475470219,0.6224446640491711,2,A15
8,14.595878692388409,16.47325758251078,2.3134131486270637,0.8932004599115962,3,A15
9,16.87849956061109,18.12805163263691,6.789091863766279,0.47156679451613737,4,A15
10,13.68650426479231,4.08724286792763,6.7669976134028476,0.7180440251730883,4,A15
11,3.693571628408032,7.8454779708358675,4.94880572899844,0.596174101181509,1,A15
12,9.902625740902028,11.954817113541596,13.05840673145389,0.7326880179807317,3,A15
13,4.4868743774688085,5.593015782858468,10.532274876925921,0.21198143732142383,3,A15
14,1.4595675451953416,10.137006590159313,3.8007517845199645,0.34885644410940053,2,A15
15,0.9020065393323007,16.212958758103678,10.439656537073605,0.7102656120311034,4,A15
16,11.884950456971575,5.84485207017122,7.552698090751453,0.464400539361861,1,A15
17,10.996742985127748,18.43984581754799,7.371822103169087,0.7499525696741732,2,A15
18,0.14246359561284505,16.16489497810167,10.055094383731573,0.439600790976307,5,A15
19,8.424061710839501,7.647318787983249,13.139959376666297,0.2840816596786556,5,A15
20,17.213844940020387,9.70115275309874,1.2133399004760403,0.8024283495591866,3,A15
21,9.09373713831275,0.4273245808524395,18.74062813118201,0.05332133693125596,4,A15
22,18.42955616430523,1.543596063661612,19.418129945118014,0.38985199403541193,3,A15
23,16.9490788084331,11.770390695411168,8.796785622401151,0.7526940537360668,3,A16
24,2.798793594755873,17.734376746824886,5.1045056636203645,0.41945788554461927,2,A16
25,2.6358648815382058,9.321504175210205,8.55387565972003,0.04609621488949389,4,A16
26,10.114773913907321,6.628606933891936,4.977589393489068,0.9999718610798154,5,A16
27,11.683458725593015,8.030689960697234,19.950710624258452,0.29954604897660486,1,A16
28,15.897375279446253,9.003171545563989,11.156970821974548,0.6386905058313945,5,A16
29,2.548219009483108,14.419728088209752,2.3401235230052286,1.0,3,A13
30,12.310250717672165,3.1019889999026917,12.254538566955773,1.0,4,A14
