time,xin,TL,BL,reset,ic,T,action
0.0,0.0017643164644658427,3.204486317700077,2.746871055095511,0,4.913938462134395,0.1,A19
4.0,0.8929661185821707,3.204486317700077,2.746871055095511,0,4.913938462134395,0.1,A19
8.0,0.6248131005683994,3.204486317700077,2.746871055095511,0,4.913938462134395,0.1,A19
8.01,-0.6538455744587117,-0.8262524326698277,-7.49407800954872,1,-4.92597127084711,0.1,A1
10.0,-0.0052890261300537755,-0.8262524326698277,-7.49407800954872,1,-4.92597127084711,0.1,A1
12.0,0.5651089360575181,-0.8262524326698277,-7.49407800954872,1,-4.92597127084711,0.1,A1
12.01,0.8859222227660883,6.611395085585428,-8.992933299475819,0,-6.584399249322665,0.1,A20
14.0,-0.3809227069019576,6.611395085585428,-8.992933299475819,0,-6.584399249322665,0.1,A20
16.0,0.3124692416421072,6.611395085585428,-8.992933299475819,0,-6.584399249322665,0.1,A20
16.01,-0.137030676378755,4.155140309537121,2.8248549937168637,1,-2.5143027486083325,0.1,A7
17.0,0.7224140133846073,4.155140309537121,2.8248549937168637,1,-2.5143027486083325,0.1,A7
18.0,-0.13831481106320376,4.155140309537121,2.8248549937168637,1,-2.5143027486083325,0.1,A7
18.01,0.5897100685077068,9.158580727414602,-4.618323651367005,0,-1.2946347930385507,0.1,A20
19.0,-0.15297083665064215,9.158580727414602,-4.618323651367005,0,-1.2946347930385507,0.1,A20
20.0,0.012572700488061361,9.158580727414602,-4.618323651367005,0,-1.2946347930385507,0.1,A20
