第1组:
time,xin,reset,ic,TL,BL,T
0,0.5,1,5,10,-10,0.1
10,0.3,0,5,10,-10,0.1
20,0.7,0,5,10,-10,0.1

第2组:
time,xin,reset,ic,TL,BL,T
0,-0.2,1,-8,5,-5,0.1
10,0.8,0,-8,5,-5,0.1
20,0.9,0,-8,5,-5,0.1

第3组:
time,xin,reset,ic,TL,BL,T
0,0.0,1,12,8,-8,0.1
10,1.0,0,12,8,-8,0.1
20,-1.0,0,12,8,-8,0.1

第4组:
time,xin,reset,ic,TL,BL,T
0,0.5,1,-15,-5,-10,0.1
10,-0.5,0,-15,-5,-10,0.1
20,1.0,0,-15,-5,-10,0.1

第5组:
time,xin,reset,ic,TL,BL,T
0,0.0,0,0,2,-2,0.1
10,0.9,1,3,2,-2,0.1
20,0.5,0,3,2,-2,0.1

第6组:
time,xin,reset,ic,TL,BL,T
0,0.0,0,0,10,-10,0.1
10,1.0,0,0,10,-10,0.1
20,1.0,1,15,10,-10,0.1

第7组:
time,xin,reset,ic,TL,BL,T
0,0.8,1,0,0,0,0.1
10,0.8,0,0,0,0,0.1
20,0.8,0,0,0,0,0.1

第8组:
time,xin,reset,ic,TL,BL,T
0,-0.6,1,-5,-4,-6,0.1
10,0.6,0,-5,-4,-6,0.1
20,0.8,0,-5,-4,-6,0.1

第9组:
time,xin,reset,ic,TL,BL,T
0,1.0,1,9,9,-9,0.1
10,-1.0,0,9,9,-9,0.1
20,1.0,0,9,9,-9,0.1

第10组:
time,xin,reset,ic,TL,BL,T
0,0.0,1,0,10,10,0.1
10,1.0,0,0,10,10,0.1
20,1.0,0,0,10,10,0.1
