time,x,y,action
0.0,-1.314991009862736,-1.2634969455942846,A12
5.5,-2.0,-2.0,A12
11.0,-1.6164437613223193,-2.0,A12
11.01,-2.0,-1.928940677742195,A14
23.0,-1.4924375161983172,-1.3472365347928879,A14
35.0,-1.7072503397492025,-1.1851305181679268,A14
35.01,1.1824748348136795,-1.314223394259293,A15
42.5,1.594499533885825,-0.6800167764934071,A15
50.0,2.0,-1.7394272164570328,A15
50.01,1.9509485754008917,1.4283517940266799,A16
75.0,-0.17166140547205355,1.4360784597138965,A16
100.0,-2.0,1.5195546149538823,A16
